#name	name2
XM_006228845.3	Lsr
NM_032616.1	Lsr
NM_001109544.1	Pdcd2l
XM_006228854.3	Chst8
XM_006228853.3	Chst8
NM_001107504.2	Chst8
XR_001835718.1	LOC108349467
XM_017590048.1	LOC108348122
XM_017590049.1	LOC108348122
XM_017590050.1	LOC687508
XM_017590051.1	LOC687508
XM_017590052.1	LOC687508
XR_001835721.1	LOC687508
XM_017590054.1	LOC687508
XM_017590053.1	LOC687508
XM_006228899.2	Wdr88
XM_006228887.3	Rhpn2
NM_001107505.1	Rhpn2
XM_017590066.1	Tdrd12
XM_017590064.1	Tdrd12
XM_017590062.1	Tdrd12
XM_017590065.1	Tdrd12
XM_017590068.1	Tdrd12
XM_017590063.1	Tdrd12
XM_017590067.1	Tdrd12
XM_017589356.1	Ankrd27
NM_001271264.1	Ankrd27
XM_017589360.1	Ankrd27
XM_017589355.1	Ankrd27
XM_017589358.1	Ankrd27
XM_017589357.1	Ankrd27
XM_017589359.1	Ankrd27
NM_001135835.2	Dpy19l3
XM_017589127.1	Dpy19l3
XM_008759164.2	Dpy19l3
XM_006228888.3	Dpy19l3
XM_006228890.3	Dpy19l3
XM_006228889.3	Dpy19l3
XM_008759274.2	Zfp536
XM_008759273.2	Zfp536
XM_017590071.1	Zfp536
XM_008759268.2	Zfp536
XM_008759269.2	Zfp536
XM_008759271.2	Zfp536
XM_017590072.1	Zfp536
XM_017590070.1	Zfp536
XM_008759272.2	Zfp536
XM_008759270.2	Zfp536
NM_001108479.1	Vstm2b
XM_017589361.1	Vstm2b
XM_001073960.4	LOC690284
XM_006228939.2	Zfp141
XM_017590099.1	LOC690483
XM_017590098.1	LOC690483
XM_006228950.3	LOC690483
NM_001099476.1	Vom2r38
NM_001099487.1	Vom2r37
XR_590161.2	LOC103691104
NM_001013067.3	Klk1c8
XM_008759441.2	LOC102546648
XM_008759442.2	LOC102546648
XM_008759440.2	LOC102546648
XM_017590109.1	LOC687880
XM_008759325.2	Syt3
